journal_name	abbr_name	issn	eissn	impact_factor	impact_factor_5_year	category	jcr_quartile	rank	total_num_of_journals
DEN Open	DEN OPEN	2692-4609	2692-4609	1.4	1.4	GASTROENTEROLOGY & HEPATOLOGY	Q4	111	143
EURASIAN SOIL SCIENCE	EURASIAN SOIL SCI+	1064-2293	1556-195X	1.4	1.4	SOIL SCIENCE	Q4	41	49
Gastroenterology Research	GASTROENTEROL RES	1918-2805	1918-2813	1.4	1.8	GASTROENTEROLOGY & HEPATOLOGY	Q4	111	143
JOURNAL OF CLINICAL APHERESIS	J CLIN APHERESIS	0733-2459	1098-1101	1.4	2.0	HEMATOLOGY	Q4	74	97
JOURNAL OF ELASTOMERS AND PLASTICS	J ELASTOM PLAST	0095-2443	1530-8006	1.4	1.8	POLYMER SCIENCE	Q4	76	94
Journal of Robotics	J ROBOT	1687-9600	1687-9619	1.4	1.7	ROBOTICS	Q4	37	46
POLAR RECORD	POLAR REC	0032-2474	1475-3057	1.4	1.3	ENVIRONMENTAL SCIENCES	Q4	300	358
REAL-TIME SYSTEMS	REAL-TIME SYST	0922-6443	1573-1383	1.4	1.5	COMPUTER SCIENCE, THEORY & METHODS	Q3	77	143
Journal of Applied Remote Sensing	J APPL REMOTE SENS		1931-3195	1.4	1.4	REMOTE SENSING	Q3	44	62
Latin American Journal of Solids and Structures	LAT AM J SOLIDS STRU	1679-7825	1679-7825	1.4	1.2	MECHANICS	Q3	123	170
Molecular and Clinical Oncology	MOL CLIN ONCOL	2049-9450	2049-9469	1.4	1.3	ONCOLOGY	Q4	263	322
TRANSFUSION CLINIQUE ET BIOLOGIQUE	TRANSFUS CLIN BIOL	1246-7820		1.4	1.4	IMMUNOLOGY	Q4	157	181
Turkish Journal of Physics	TURK J PHYS	1300-0101	1303-6122	1.4	0.9	PHYSICS, MULTIDISCIPLINARY	Q3	59	110
Journal of the Anus Rectum and Colon	J ANUS RECTUM COLON		2432-3853	1.4	2.0	GASTROENTEROLOGY & HEPATOLOGY	Q4	111	143
MEDICAL LETTER ON DRUGS AND THERAPEUTICS	MED LETT DRUGS THER	0025-732X	1523-2859	1.4	1.1	PHARMACOLOGY & PHARMACY	Q4	275	354
Physical Chemistry Research	PHYS CHEM RES	2322-5521	2345-2625	1.4	1.1	CHEMISTRY, MULTIDISCIPLINARY	Q3	157	230
Turkish Journal of Gastroenterology	TURK J GASTROENTEROL		2148-5607	1.4	1.8	GASTROENTEROLOGY & HEPATOLOGY	Q4	111	143
International Journal of Shipping and Transport Logistics	INT J SHIP TRANS LOG	1756-6517	1756-6525	1.4	1.6	TRANSPORTATION	Q4	47	57
INTERNATIONAL JOURNAL OF STD & AIDS	INT J STD AIDS	0956-4624	1758-1052	1.4	1.4	INFECTIOUS DISEASES	Q4	108	132
Intervention-International Journal of Mental Health Psychosocial Work and Counselling in Areas of Armed Conflict	INTERVENTION	1571-8883	1872-1001	1.4	1.2	PSYCHIATRY	Q3	199	276
Open Access Journal of Clinical Trials	OPEN ACCESS J CLIN T	1179-1519	1179-1519	1.4	1.6	MEDICINE, RESEARCH & EXPERIMENTAL	Q4	144	189
PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART I-JOURNAL OF SYSTEMS AND CONTROL ENGINEERING	P I MECH ENG I-J SYS	0959-6518	2041-3041	1.4	1.5	AUTOMATION & CONTROL SYSTEMS	Q4	64	84
Soil Science Annual	SOIL SCI ANNU	2300-4967	2300-4975	1.4	1.5	SOIL SCIENCE	Q4	41	49
Structural Heart-The Journal of the Heart Team	STRUCT HEART	2474-8706	2474-8714	1.4	1.2	CARDIAC & CARDIOVASCULAR SYSTEMS	Q3	150	220
World Journal of Gastrointestinal Endoscopy	WORLD J GASTRO ENDOS	1948-5190	1948-5190	1.4	1.7	GASTROENTEROLOGY & HEPATOLOGY	Q4	111	143
AIP Advances	AIP ADV		2158-3226	1.4	1.4	PHYSICS, APPLIED	Q4	138	179
Archives of Environmental Protection	ARCH ENVIRON PROT	2083-4772	2083-4810	1.4	1.3	ENVIRONMENTAL SCIENCES	Q4	300	358
International Journal of Computational Science and Engineering	INT J COMPUT SCI ENG	1742-7185	1742-7193	1.4	1.4	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS	Q4	130	169
Oncologie	ONCOLOGIE	1292-3818	1765-2839	1.4	1.0	ONCOLOGY	Q4	263	322
Revista de la Construccion	REV CONSTR	0718-915X	0718-915X	1.4	1.2	ENGINEERING, CIVIL	Q3	120	181
SARCOIDOSIS VASCULITIS AND DIFFUSE LUNG DISEASES	SARCOIDOSIS VASC DIF	1124-0490		1.4	1.5	RESPIRATORY SYSTEM	Q4	76	100
Transactions of FAMENA	T FAMENA	1333-1124	1333-1124	1.4	1.1	MATERIALS SCIENCE, MULTIDISCIPLINARY	Q4	349	438
Indian Journal of Medical Microbiology	INDIAN J MED MICROBI	0255-0857	1998-3646	1.4	1.4	IMMUNOLOGY	Q4	157	181
Journal of Cancer Research and Therapeutics	J CANCER RES THER	0973-1482	1998-4138	1.4	1.3	ONCOLOGY	Q4	263	322
Asia-Pacific Journal of Chemical Engineering	ASIA-PAC J CHEM ENG	1932-2135	1932-2143	1.4	1.6	ENGINEERING, CHEMICAL	Q3	120	170
PERIODICA POLYTECHNICA-CHEMICAL ENGINEERING	PERIOD POLYTECH-CHEM	0324-5853	1587-3765	1.4	1.3	ENGINEERING, CHEMICAL	Q3	120	170
Revista Brasileira de Engenharia Agricola e Ambiental	REV BRAS ENG AGR AMB	1415-4366	1807-1929	1.4	1.3	AGRICULTURAL ENGINEERING	Q3	12	20
Advances in Civil Engineering Materials	ADV CIV ENG MATER	2379-1357	2165-3984	1.4	1.2	MATERIALS SCIENCE, MULTIDISCIPLINARY	Q4	349	438
AI COMMUNICATIONS	AI COMMUN	0921-7126	1875-8452	1.4	1.0	COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE	Q4	156	197
Environmental and Climate Technologies	ENVIRON CLIM TECHNOL	1691-5208	2255-8837	1.4	1.6	GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY	Q4	82	91
Transactions of the ASABE	T ASABE	2151-0032	2151-0040	1.4	1.5	AGRICULTURAL ENGINEERING	Q3	12	20
ZEITSCHRIFT FUR GASTROENTEROLOGIE	Z GASTROENTEROL	0044-2771	1439-7803	1.4	1.4	GASTROENTEROLOGY & HEPATOLOGY	Q4	111	143
CELL AND TISSUE BANKING	CELL TISSUE BANK	1389-9333	1573-6814	1.4	1.5	ENGINEERING, BIOMEDICAL	Q4	99	122
International Journal of Computational Materials Science and Engineering	INT J COMPUT MAT SCI	2047-6841	2047-685X	1.4	1.3	MATERIALS SCIENCE, MULTIDISCIPLINARY	Q4	349	438
Journal of Cancer Metastasis and Treatment	J CANCER METAS TREAT	2394-4722	2454-2857	1.4		ONCOLOGY	Q4	263	322
Russian Meteorology and Hydrology	RUSS METEOROL HYDRO+	1068-3739	1934-8096	1.4	1.2	METEOROLOGY & ATMOSPHERIC SCIENCES	Q4	94	110
Southern African Journal of Infectious Diseases	SOUTH AFR J INFECT D	2312-0053	2313-1810	1.4	1.2	INFECTIOUS DISEASES	Q4	108	132
AIMS Materials Science	AIMS MATER SCI	2372-0468	2372-0484	1.4	1.9	MATERIALS SCIENCE, MULTIDISCIPLINARY	Q4	349	438
ALLERGOLOGIE	ALLERGOLOGIE	0344-5062	0344-5062	1.4	0.7	ALLERGY	Q3	28	39
CHEMISTRY LETTERS	CHEM LETT	0366-7022	1348-0715	1.4	1.2	CHEMISTRY, MULTIDISCIPLINARY	Q3	157	230
American Journal of Clinical and Experimental Immunology	AM J CLIN EXP IMMUNO		2164-7712	1.4	1.7	IMMUNOLOGY	Q4	157	181
JOURNAL OF SOLUTION CHEMISTRY	J SOLUTION CHEM	0095-9782	1572-8927	1.4	1.7	CHEMISTRY, PHYSICAL	Q4	160	178
METROPOLITAN MUSEUM OF ART BULLETIN	METROPOL MUS ART B	0026-1521	2325-6915	1.4	0.5	ART	N/A	0	0
Nanomedicine Journal	NANOMED J	2322-3049	2322-5904	1.4	1.5	NANOSCIENCE & NANOTECHNOLOGY	Q4	118	140
WPOM-Working Papers on Operations Management	WPOM-WORKING PAP OPE	1989-9068	1989-9068	1.4	0.9	BUSINESS	Q3	219	302
COLLOID JOURNAL	COLLOID J+	1061-933X	1608-3067	1.4	1.0	CHEMISTRY, PHYSICAL	Q4	160	178
Current Nanoscience	CURR NANOSCI	1573-4137	1875-6786	1.4	1.3	NANOSCIENCE & NANOTECHNOLOGY	Q4	118	140
Journal of Nanostructures	J NANOSTRUCT	2251-7871	2251-788X	1.4	1.4	NANOSCIENCE & NANOTECHNOLOGY	Q4	118	140
Region	REGION	2166-4307	2165-0659	1.4	1.3	AREA STUDIES	Q1	23	176
Turkish Journal of Physiotherapy Rehabilitation-Turk Fizyoterapi ve Rehabilitasyon Dergisi	TURK J PHYSIOTHER R	2651-4451	2651-446X	1.4	0.9	REHABILITATION	Q3	102	169
CIVIL ENGINEERING	CIVIL ENG	0885-7024	0885-7024	1.4	0.9	ENGINEERING, CIVIL	Q3	120	181
Episteme-A Journal of Individual and Social Epistemology	EPISTEME-J INDIV SOC	1742-3600	1750-0117	1.3	1.7	PHILOSOPHY	N/A	0	0
Research Studies in Music Education	RES STUD MUSIC EDUC	1321-103X	1834-5530	1.3	1.7	MUSIC	N/A	0	0
DIGITAL CREATIVITY	DIGIT CREAT	1462-6268	1744-3806	1.3	1.5	ART	N/A	0	0
JOURNAL OF ASIAN STUDIES	J ASIAN STUD	0021-9118	1752-0401	1.3	1.4	ASIAN STUDIES	N/A	0	0
Nationalities Papers-The Journal of Nationalism and Ethnicity	NATL PAP	0090-5992	1465-3923	1.3	1.3	POLITICAL SCIENCE	Q2	153	317
TOPOI-AN INTERNATIONAL REVIEW OF PHILOSOPHY	TOPOI-INT REV PHILOS	0167-7411	1572-8749	1.3	1.4	PHILOSOPHY	N/A	0	0
Religion State & Society	RELIG STATE SOC	0963-7494	1465-3974	1.3	1.8	RELIGION	N/A	0	0
MUSIC PERCEPTION	MUSIC PERCEPT	0730-7829		1.3	1.9	PSYCHOLOGY, EXPERIMENTAL	Q4	82	99
PHILOSOPHY AND PHENOMENOLOGICAL RESEARCH	PHILOS PHENOMEN RES	0031-8205	1933-1592	1.3	1.8	PHILOSOPHY	N/A	0	0
Politics and Religion	POLIT RELIG	1755-0483	1755-0491	1.3	1.5	RELIGION	N/A	0	0
SYNTHESE	SYNTHESE	0039-7857	1573-0964	1.3	1.5	PHILOSOPHY	N/A	0	0
Journal of Language Aggression and Conflict	J LANG AGGRESS CONFL	2213-1272	2213-1280	1.3	1.7	LANGUAGE & LINGUISTICS	N/A	0	0
Laws	LAWS-BASEL		2075-471X	1.3		LAW	Q1	80	421
Millennial Asia	MILLENN ASIA	0976-3996	2321-7081	1.3	1.7	AREA STUDIES	Q1	28	176
International Journal of Marine and Coastal Law	INT J MAR COAST LAW	0927-3522	1571-8085	1.3	1.3	LAW	Q1	80	421
International Journal of Music Education	INT J MUSIC EDUC	0255-7614	1744-795X	1.3	1.6	MUSIC	N/A	0	0
Leiden Journal of International Law	LEIDEN J INT LAW	0922-1565	1478-9698	1.3	1.6	LAW	Q1	80	421
Journal of World Investment & Trade	J WORLD INVEST TRADE	1660-7112	2211-9000	1.3	1.3	LAW	Q1	80	421
Landscape Journal	LANDSC J	0277-2426	1553-2704	1.3		ARCHITECTURE	N/A	0	0
JOURNAL OF DIFFERENTIAL GEOMETRY	J DIFFER GEOM	0022-040X	1945-743X	1.3	2.2	MATHEMATICS	Q1	67	489
International Journal of Cultural Policy	INT J CULT POLICY	1028-6632	1477-2833	1.3	1.6	CULTURAL STUDIES	Q2	15	59
POPULAR MUSIC AND SOCIETY	POP MUSIC SOC	0300-7766	1740-1712	1.3	0.9	MUSIC	N/A	0	0
SLAVIC REVIEW	SLAVIC REV	0037-6779	2325-7784	1.3	1.1	HUMANITIES, MULTIDISCIPLINARY	N/A	0	0
International Journal of Law and Management	INT J LAW MANAG	1754-243X	1754-2448	1.3	1.5	LAW	Q1	80	421
Griffith Law Review	GRIFFITH LAW REV	1038-3441	1839-4205	1.3	1.4	LAW	Q1	80	421
Journal for the Study of the Historical Jesus	J STUD HIST JESUS	1476-8690	1745-5197	1.3	1.4	RELIGION	N/A	0	0
International Journal of Bilingualism	INT J BILINGUAL	1367-0069	1756-6878	1.3	1.9	LINGUISTICS	Q2	97	297
International Sports Law Journal	INT SPORTS LAW J	1567-7559	2213-5154	1.3	1.2	LAW	Q1	80	421
Netherlands International Law Review	NETH INT LAW REV	0165-070X	1741-6191	1.3	1.1	LAW	Q1	80	421
ANNALES SCIENTIFIQUES DE L ECOLE NORMALE SUPERIEURE	ANN SCI ECOLE NORM S	0012-9593	1873-2151	1.3	1.7	MATHEMATICS	Q1	67	489
Advances in Calculus of Variations	ADV CALC VAR	1864-8258	1864-8266	1.3	1.5	MATHEMATICS, APPLIED	Q2	124	331
COMPOSITIO MATHEMATICA	COMPOS MATH	0010-437X	1570-5846	1.3	1.5	MATHEMATICS	Q1	67	489
International Journal of Refugee Law	INT J REFUG LAW	0953-8186	1464-3715	1.3	1.5	LAW	Q1	80	421
Journal of Research in Special Educational Needs	J RES SPEC EDUC NEED	1471-3802	1471-3802	1.3	2.0	EDUCATION, SPECIAL	Q3	35	62
Canadian Journal of Science Mathematics and Technology Education	CAN J SCI MATH TECHN	1492-6156	1942-4051	1.3	1.3	EDUCATION, SCIENTIFIC DISCIPLINES	Q3	49	85
JOURNAL OF MODERN AFRICAN STUDIES	J MOD AFR STUD	0022-278X	1469-7777	1.3	1.4	AREA STUDIES	Q1	28	176
Mediterranean Politics	MEDITERR POLIT	1362-9395	1743-9418	1.3	1.7	POLITICAL SCIENCE	Q2	153	317
HERPETOLOGICA	HERPETOLOGICA	0018-0831	1938-5099	1.3	1.9	ZOOLOGY	Q2	69	180
INTERNATIONAL JOURNAL OF EARLY CHILDHOOD	INT J EARLY CHILD	0020-7187	1878-4658	1.3	2.4	EDUCATION & EDUCATIONAL RESEARCH	Q2	345	756
ASIAN SURVEY	ASIAN SURV	0004-4687	1533-838X	1.3	1.0	AREA STUDIES	Q1	28	176
Canadian Slavonic Papers	CAN SLAVON PAP	0008-5006	2375-2475	1.3	0.7	ETHNIC STUDIES	Q2	18	39
Trabajos de Prehistoria	TRABAJOS PREHIST	0082-5638	1988-3218	1.3	1.2	ARCHAEOLOGY	N/A	0	0
JOURNAL OF LAW AND SOCIETY	J LAW SOC	0263-323X	1467-6478	1.3	1.4	SOCIOLOGY	Q3	113	217
AMERICAN JOURNAL OF COMPARATIVE LAW	AM J COMP LAW	0002-919X	2326-9197	1.3	1.2	LAW	Q1	80	421
INTERNATIONAL JOURNAL OF MIDDLE EAST STUDIES	INT J MIDDLE E STUD	0020-7438	1471-6380	1.3	1.7	AREA STUDIES	Q1	28	176
Cultural Studies of Science Education	CULT STUD SCI EDUCAT	1871-1502	1871-1510	1.3	1.5	EDUCATION & EDUCATIONAL RESEARCH	Q2	345	756
European Company and Financial Law Review	EUR CO FINANC LAW R	1613-2548	1613-2556	1.3	1.0	LAW	Q1	80	421
EMS Surveys in Mathematical Sciences	EMS SURV MATH SCI	2308-2151	2308-216X	1.3	2.6	MATHEMATICS	Q1	67	489
REVISTA MATEMATICA IBEROAMERICANA	REV MAT IBEROAM	0213-2230		1.3	1.2	MATHEMATICS	Q1	67	489
Journal de l Ecole Polytechnique-Mathematiques	J ECOLE POLYTECH-MAT	2429-7100	2270-518X	1.3	1.3	MATHEMATICS	Q1	67	489
Journal of Mathematics	J MATH-UK	2314-4629	2314-4785	1.3	1.3	MATHEMATICS	Q1	67	489
Laboratory Phonology	LAB PHONOL	1868-6346	1868-6354	1.3	1.4	LINGUISTICS	Q2	97	297
MATHEMATISCHE ANNALEN	MATH ANN	0025-5831	1432-1807	1.3	1.5	MATHEMATICS	Q1	67	489
Language Acquisition	LANG ACQUIS	1048-9223	1532-7817	1.3	1.5	LINGUISTICS	Q2	97	297
OCEAN DEVELOPMENT AND INTERNATIONAL LAW	OCEAN DEV INT LAW	0090-8320	1521-0642	1.3	1.3	LAW	Q1	80	421
Tel Aviv-Journal of the Institute of Archaeology of Tel Aviv University	TEL AVIV	0334-4355	2040-4786	1.3	1.6	ARCHAEOLOGY	N/A	0	0
JOURNAL OF ORNITHOLOGY	J ORNITHOL	2193-7192	2193-7206	1.3	1.5	ORNITHOLOGY	Q2	11	29
Nordic Social Work Research	NORD SOC WORK RES	2156-857X	2156-8588	1.3		SOCIAL WORK	Q2	45	91
LANGUAGE SCIENCES	LANG SCI	0388-0001	1873-5746	1.3	1.1	LINGUISTICS	Q2	97	297
NONLINEAR ANALYSIS-THEORY METHODS & APPLICATIONS	NONLINEAR ANAL-THEOR	0362-546X	1873-5215	1.3	1.6	MATHEMATICS, APPLIED	Q2	124	331
Election Law Journal	ELECT LAW J	1533-1296	1557-8062	1.3	1.5	POLITICAL SCIENCE	Q2	153	317
Journal of Advanced Academics	J ADV ACAD	1932-202X	2162-9536	1.3	2.2	EDUCATION, SPECIAL	Q3	35	62
Critical African Studies	CRIT AFR STUD	2168-1392	2040-7211	1.3		SOCIAL SCIENCES, INTERDISCIPLINARY	Q2	103	263
Evolution Equations and Control Theory	EVOL EQU CONTROL THE	2163-2480	2163-2480	1.3	1.5	MATHEMATICS, APPLIED	Q2	124	331
Asian Bioethics Review	ASIAN BIOETHICS REV	1793-8759	1793-9453	1.3	1.9	MEDICAL ETHICS	Q3	16	23
PROCEEDINGS OF THE ROYAL SOCIETY OF EDINBURGH SECTION A-MATHEMATICS	P ROY SOC EDINB A	0308-2105	1473-7124	1.3	1.2	MATHEMATICS, APPLIED	Q2	124	331
Corpus Pragmatics	CORPUS PRAGMATICS	2509-9507	2509-9515	1.3	1.2	LINGUISTICS	Q2	97	297
Journal of Competition Law & Economics	J COMPET LAW ECON	1744-6414	1744-6422	1.3	1.5	LAW	Q1	80	421
Journal of Teaching in Travel & Tourism	J TEACH TRAVEL TOUR	1531-3220	1531-3239	1.3	1.6	EDUCATION & EDUCATIONAL RESEARCH	Q2	345	756
Probability Surveys	PROBAB SURV	1549-5787	1549-5787	1.3	1.8	STATISTICS & PROBABILITY	Q2	65	168
Journal of Forest Research	J FOREST RES-JPN	1341-6979	1610-7403	1.3	1.5	FORESTRY	Q3	48	89
OSTRICH	OSTRICH	0030-6525	1727-947X	1.3	1.1	ORNITHOLOGY	Q2	11	29
Discrete and Continuous Dynamical Systems-Series S	DISCRETE CONT DYN-S	1937-1632	1937-1179	1.3	1.4	MATHEMATICS, APPLIED	Q2	124	331
LINGUISTICS	LINGUISTICS	0024-3949	1613-396X	1.3	1.0	LINGUISTICS	Q2	97	297
Quantitative Methods for Psychology	QUANT METH PSYCHOL	1913-4126	2292-1354	1.3	2.7	SOCIAL SCIENCES, INTERDISCIPLINARY	Q2	103	263
Justice Evaluation Journal	JUSTICE EVAL J	2475-1979	2475-1987	1.3	1.4	CRIMINOLOGY & PENOLOGY	Q3	61	113
Mammal Research	MAMMAL RES	2199-2401	2199-241X	1.3	1.6	ZOOLOGY	Q2	69	180
Journal of Early Childhood Literacy	J EARLY CHILD LIT	1468-7984	1741-2919	1.3	2.2	EDUCATION & EDUCATIONAL RESEARCH	Q2	345	756
JOURNAL OF LAW ECONOMICS & ORGANIZATION	J LAW ECON ORGAN	8756-6222	1465-7341	1.3	1.6	LAW	Q1	80	421
JOURNAL OF RISK AND UNCERTAINTY	J RISK UNCERTAINTY	0895-5646	1573-0476	1.3	3.1	ECONOMICS	Q3	323	597
JOURNAL OF STRATEGIC STUDIES	J STRATEGIC STUD	0140-2390	1743-937X	1.3	1.8	POLITICAL SCIENCE	Q2	153	317
Advances in Neurodevelopmental Disorders	ADV NEURODEV DISORD	2366-7532	2366-7540	1.3		REHABILITATION	Q3	106	169
JOURNAL OF HISTORICAL GEOGRAPHY	J HIST GEOGR	0305-7488	1095-8614	1.3	1.2	HISTORY OF SOCIAL SCIENCES	Q1	5	42
POLITISCHE VIERTELJAHRESSCHRIFT	POLIT VIERTELJAHR	0032-3470	1862-2860	1.3	1.3	POLITICAL SCIENCE	Q2	153	317
SOUTH AFRICAN ARCHAEOLOGICAL BULLETIN	S AFR ARCHAEOL BULL	0038-1969	2224-4654	1.3	0.9	ARCHAEOLOGY	N/A	0	0
International Journal of Numerical Analysis and Modeling	INT J NUMER ANAL MOD	1705-5105	1705-5105	1.3	1.2	MATHEMATICS, APPLIED	Q2	124	331
Set-Valued and Variational Analysis	SET-VALUED VAR ANAL	1877-0533	1877-0541	1.3	1.6	MATHEMATICS, APPLIED	Q2	124	331
Research in Mathematics Education	RES MATH EDUCAT	1479-4802	1754-0178	1.3	1.8	EDUCATION & EDUCATIONAL RESEARCH	Q2	345	756
MICROPALEONTOLOGY	MICROPALEONTOLOGY	0026-2803	1937-2795	1.3	1.2	PALEONTOLOGY	Q3	34	56
AMERICAN BUSINESS LAW JOURNAL	AM BUS LAW J	0002-7766	1744-1714	1.3	1.5	LAW	Q1	80	421
Global Social Welfare	GLOB SOC WELFARE	2196-8799	2196-8799	1.3	1.3	SOCIAL WORK	Q2	45	91
Journal of Contemporary Criminal Justice	J CONTEMP CRIM JUST	1043-9862	1552-5406	1.3	1.7	CRIMINOLOGY & PENOLOGY	Q3	61	113
JOURNAL OF GAY & LESBIAN SOCIAL SERVICES	J GAY LESBIAN SOC SE	1053-8720	1540-4056	1.3	1.5	SOCIAL WORK	Q2	45	91
Behavioral Sciences of Terrorism and Political Aggression	BEHAV SCI TERROR POL	1943-4472	1943-4480	1.3	1.6	POLITICAL SCIENCE	Q2	153	317
Homicide Studies	HOMICIDE STUD	1088-7679	1552-6720	1.3	1.6	CRIMINOLOGY & PENOLOGY	Q3	61	113
LANGUAGE & COMMUNICATION	LANG COMMUN	0271-5309	1873-3395	1.3	1.7	LINGUISTICS	Q2	97	297
International Journal of Education in Mathematics Science and Technology	INT J EDUC MATH SCI	2147-611X	2147-611X	1.3	1.5	EDUCATION, SCIENTIFIC DISCIPLINES	Q3	49	85
Policing-A Journal of Policy and Practice	POLIC-J POLICY PRACT	1752-4512	1752-4520	1.3	1.6	CRIMINOLOGY & PENOLOGY	Q3	61	113
Jamba-Journal of Disaster Risk Studies	JAMBA-J DISASTER RIS	1996-1421	2072-845X	1.3	1.8	SOCIAL SCIENCES, INTERDISCIPLINARY	Q2	103	263
ZooKeys	ZOOKEYS	1313-2989	1313-2970	1.3	1.2	ZOOLOGY	Q2	69	180
Chinese Journal of International Law	CHIN J INT LAW	1540-1650	1746-9937	1.3	1.1	LAW	Q1	80	421
Cogent Social Sciences	COGENT SOC SCI	2331-1886	2331-1886	1.3	1.7	SOCIAL SCIENCES, INTERDISCIPLINARY	Q2	103	263
INTERNATIONAL JOURNAL OF PERIODONTICS & RESTORATIVE DENTISTRY	INT J PERIODONT REST	0198-7569	1945-3388	1.3	1.9	DENTISTRY, ORAL SURGERY & MEDICINE	Q3	102	157
PRIMATES	PRIMATES	0032-8332	1610-7365	1.3	1.6	ZOOLOGY	Q2	69	180
Annals of Applied Statistics	ANN APPL STAT	1932-6157	1941-7330	1.3	1.9	STATISTICS & PROBABILITY	Q2	65	168
CANADIAN JOURNAL OF BEHAVIOURAL SCIENCE-REVUE CANADIENNE DES SCIENCES DU COMPORTEMENT	CAN J BEHAV SCI	0008-400X	1879-2669	1.3	2.0	PSYCHOLOGY, MULTIDISCIPLINARY	Q3	122	218
JOURNAL OF PALEONTOLOGY	J PALEONTOL	0022-3360	1937-2337	1.3	1.3	PALEONTOLOGY	Q3	34	56
BRITISH JOURNAL OF INDUSTRIAL RELATIONS	BRIT J IND RELAT	0007-1080	1467-8543	1.3	2.2	INDUSTRIAL RELATIONS & LABOR	Q3	28	49
Journal of Veterinary Behavior-Clinical Applications and Research	J VET BEHAV	1558-7878	1878-7517	1.3	1.7	VETERINARY SCIENCES	Q2	78	167
BOLLETTINO DELLA SOCIETA PALEONTOLOGICA ITALIANA	B SOC PALEONTOL ITAL	0375-7633		1.3	1.4	PALEONTOLOGY	Q3	34	56
Critical Philosophy of Race	CRIT PHILOS RACE	2165-8684	2165-8692	1.3	1.8	ETHNIC STUDIES	Q2	18	39
Journal of Sport Rehabilitation	J SPORT REHABIL	1056-6716	1543-3072	1.3	1.7	SPORT SCIENCES	Q3	84	127
QUINTESSENCE INTERNATIONAL	QUINTESSENCE INT	0033-6572	1936-7163	1.3	1.8	DENTISTRY, ORAL SURGERY & MEDICINE	Q3	102	157
Nurse Leader	NURSE LEAD	1541-4612	1541-4620	1.3	1.1	NURSING	Q3	111	191
E&G Quaternary Science Journal	E G QUATERN SCI J	0424-7116	2199-9090	1.3	1.5	GEOLOGY	Q2	22	60
International Journal of Early Years Education	INT J EARLY YEARS ED	0966-9760	1469-8463	1.3	1.7	EDUCATION & EDUCATIONAL RESEARCH	Q2	345	756
JOURNAL OF IBERIAN GEOLOGY	J IBER GEOL	1698-6180	1886-7995	1.3	1.3	GEOLOGY	Q2	22	60
Theory and Research in Education	THEORY RES EDUC	1477-8785	1741-3192	1.3	2.3	EDUCATION & EDUCATIONAL RESEARCH	Q2	345	756
VETERINARY SURGERY	VET SURG	0161-3499	1532-950X	1.3	1.6	VETERINARY SCIENCES	Q2	78	167
APPLIED IMMUNOHISTOCHEMISTRY & MOLECULAR MORPHOLOGY	APPL IMMUNOHISTO M M	1541-2016	1533-4058	1.3	1.5	PATHOLOGY	Q3	60	88
DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS-SERIES B	DISCRETE CONT DYN-B	1531-3492	1553-524X	1.3	1.2	MATHEMATICS, APPLIED	Q2	124	331
Early Years	EARLY YEARS-ABINGDON	0957-5146	1472-4421	1.3	1.3	EDUCATION & EDUCATIONAL RESEARCH	Q2	345	756
Fuzzy Information and Engineering	FUZZY INF ENG	1616-8658	1616-8666	1.3	1.3	MATHEMATICS, APPLIED	Q2	124	331
Journal of Orofacial Orthopedics-Fortschritte der Kieferorthopadie	J OROFAC ORTHOP	1434-5293	1615-6714	1.3	2.0	DENTISTRY, ORAL SURGERY & MEDICINE	Q3	102	157
Journal of Research in Childhood Education	J RES CHILD EDUC	0256-8543	2150-2641	1.3	1.8	EDUCATION & EDUCATIONAL RESEARCH	Q2	345	756
Leadership and Policy in Schools	LEADERSH POLICY SCH	1570-0763	1744-5043	1.3	1.5	EDUCATION & EDUCATIONAL RESEARCH	Q2	345	756
Mobilization	MOBILIZATION	1086-671X		1.3	1.9	SOCIOLOGY	Q3	113	217
PARLIAMENTARY AFFAIRS	PARLIAMENT AFF	0031-2290	1460-2482	1.3	1.3	POLITICAL SCIENCE	Q2	153	317
VETERINARY RADIOLOGY & ULTRASOUND	VET RADIOL ULTRASOUN	1058-8183	1740-8261	1.3	1.4	VETERINARY SCIENCES	Q2	78	167
Veterinary Record Open	VET RECORD OPEN	2399-2050	2052-6113	1.3	1.5	VETERINARY SCIENCES	Q2	78	167
ACTA SOCIOLOGICA	ACTA SOCIOL	0001-6993	1502-3869	1.3	2.0	SOCIOLOGY	Q3	113	217
BUSINESS HISTORY REVIEW	BUS HIST REV	0007-6805	2044-768X	1.3	1.5	HISTORY OF SOCIAL SCIENCES	Q1	5	42
International Review of Economics Education	INT REV ECON EDUC	1477-3880	2352-4421	1.3	1.7	EDUCATION & EDUCATIONAL RESEARCH	Q2	345	756
Issues in Educational Research	ISS EDUC RES	1837-6290	1837-6290	1.3	1.4	EDUCATION & EDUCATIONAL RESEARCH	Q2	345	756
Journal of Veterinary Research	J VET RES	2450-7393	2450-8608	1.3	1.8	VETERINARY SCIENCES	Q2	78	167
